18:31:19 | TradingSystem | INFO | ✅ 리소스 정리 완료
18:35:37 | TradingSystem | INFO | ✅ TradingSystem 로거 초기화 완료
18:35:39 | TradingSystem | INFO | 📊 전체 시장 분석 시작 (전략: momentum, 전체 종목 필터링)
18:35:39 | TradingSystem | INFO | 🚀 시스템 컴포넌트 초기화 시작...
18:35:39 | TradingSystem | INFO | ✅ 설정 로드 완료
18:35:40 | TradingSystem | INFO | ✅ Smart 데이터 수집기 초기화 완료
18:35:40 | TradingSystem | INFO | ✅ 분석 엔진 초기화 완료
18:35:40 | TradingSystem | INFO | ✅ 뉴스 수집기 초기화 완료
18:35:40 | TradingSystem | INFO | ✅ 모멘텀 전략 초기화 완료
18:35:40 | TradingSystem | INFO | 🔧 지원 컴포넌트 초기화 중...
18:35:40 | TradingSystem | INFO | ✅ 데이터베이스 매니저 초기화 완료
18:35:40 | TradingSystem | INFO | ✅ 간단 알림 서비스 초기화 완료
18:35:40 | TradingSystem | INFO | ✅ 메뉴 핸들러 초기화 완료
18:35:40 | TradingSystem | INFO | ✅ 모든 컴포넌트 초기화 완료
18:36:11 | TradingSystem | INFO | ✅ 리소스 정리 완료
18:46:38 | TradingSystem | INFO | ✅ TradingSystem 로거 초기화 완료
18:46:38 | TradingSystem | INFO | 🚀 시스템 컴포넌트 초기화 시작...
18:46:38 | TradingSystem | INFO | ✅ 설정 로드 완료
18:46:39 | TradingSystem | INFO | ✅ Smart 데이터 수집기 초기화 완료
18:46:43 | TradingSystem | INFO | ✅ 분석 엔진 초기화 완료
18:46:43 | TradingSystem | INFO | ✅ 뉴스 수집기 초기화 완료
18:46:43 | TradingSystem | INFO | ✅ 모멘텀 전략 초기화 완료
18:46:43 | TradingSystem | INFO | 🔧 지원 컴포넌트 초기화 중...
18:46:44 | TradingSystem | INFO | ✅ 데이터베이스 매니저 초기화 완료
18:46:44 | TradingSystem | INFO | ✅ 간단 알림 서비스 초기화 완료
18:46:44 | TradingSystem | INFO | ✅ 메뉴 핸들러 초기화 완료
18:46:44 | TradingSystem | INFO | ✅ 모든 컴포넌트 초기화 완료
18:46:44 | TradingSystem | INFO | 🔬 005930 (삼성전자) 분석 시작...
18:46:53 | TradingSystem | INFO | ✅ 005930 분석 완료 - 점수: 85.3, 추천: BUY
18:46:53 | TradingSystem | INFO | ✅ Smart 데이터 수집기 정리 완료
18:46:53 | TradingSystem | INFO | ✅ 리소스 정리 완료
18:47:18 | TradingSystem | INFO | ✅ TradingSystem 로거 초기화 완료
18:47:18 | TradingSystem | INFO | 🎯 특정 종목 분석: 1개 (전략: momentum)
18:47:18 | TradingSystem | INFO | 🚀 시스템 컴포넌트 초기화 시작...
18:47:18 | TradingSystem | INFO | ✅ 설정 로드 완료
18:47:18 | TradingSystem | INFO | ✅ Smart 데이터 수집기 초기화 완료
18:47:18 | TradingSystem | INFO | ✅ 분석 엔진 초기화 완료
18:47:18 | TradingSystem | INFO | ✅ 뉴스 수집기 초기화 완료
18:47:18 | TradingSystem | INFO | ✅ 모멘텀 전략 초기화 완료
18:47:18 | TradingSystem | INFO | 🔧 지원 컴포넌트 초기화 중...
18:47:19 | TradingSystem | INFO | ✅ 데이터베이스 매니저 초기화 완료
18:47:19 | TradingSystem | INFO | ✅ 간단 알림 서비스 초기화 완료
18:47:19 | TradingSystem | INFO | ✅ 메뉴 핸들러 초기화 완료
18:47:19 | TradingSystem | INFO | ✅ 모든 컴포넌트 초기화 완료
18:47:19 | TradingSystem | INFO | 🔬 005930 (종목005930) 분석 시작...
18:47:26 | TradingSystem | INFO | ✅ 005930 분석 완료 - 점수: 78.0, 추천: BUY
18:47:26 | TradingSystem | INFO | ✅ 특정 종목 분석 완료: 1개 결과
18:47:26 | TradingSystem | INFO | ✅ Smart 데이터 수집기 정리 완료
18:47:26 | TradingSystem | INFO | ✅ 리소스 정리 완료
18:47:44 | TradingSystem | INFO | ✅ TradingSystem 로거 초기화 완료
18:47:46 | TradingSystem | INFO | 📊 전체 시장 분석 시작 (전략: momentum, 전체 종목 필터링)
18:47:46 | TradingSystem | INFO | 🚀 시스템 컴포넌트 초기화 시작...
18:47:46 | TradingSystem | INFO | ✅ 설정 로드 완료
18:47:46 | TradingSystem | INFO | ✅ Smart 데이터 수집기 초기화 완료
18:47:47 | TradingSystem | INFO | ✅ 분석 엔진 초기화 완료
18:47:47 | TradingSystem | INFO | ✅ 뉴스 수집기 초기화 완료
18:47:47 | TradingSystem | INFO | ✅ 모멘텀 전략 초기화 완료
18:47:47 | TradingSystem | INFO | 🔧 지원 컴포넌트 초기화 중...
18:47:47 | TradingSystem | INFO | ✅ 데이터베이스 매니저 초기화 완료
18:47:47 | TradingSystem | INFO | ✅ 간단 알림 서비스 초기화 완료
18:47:47 | TradingSystem | INFO | ✅ 메뉴 핸들러 초기화 완료
18:47:47 | TradingSystem | INFO | ✅ 모든 컴포넌트 초기화 완료
18:48:09 | TradingSystem | INFO |    필터링 결과: 50개 종목
18:48:09 | TradingSystem | INFO | 🔬 329180 (종목329180) 분석 시작...
18:48:18 | TradingSystem | INFO | ✅ 329180 분석 완료 - 점수: 53.6, 추천: HOLD
18:48:18 | TradingSystem | INFO | 🎯 329180 분석 완료: 점수 53.589999999999996, 추천 HOLD
18:48:18 | TradingSystem | INFO | ❌ 329180 점수 부족: 53.589999999999996 < 60
18:48:18 | TradingSystem | INFO | 🔬 000660 (종목000660) 분석 시작...
18:48:26 | TradingSystem | INFO | ✅ 000660 분석 완료 - 점수: 79.4, 추천: BUY
18:48:26 | TradingSystem | INFO | 🎯 000660 분석 완료: 점수 79.42224999999999, 추천 BUY
18:48:26 | TradingSystem | INFO | ✅ 000660 신호 추가됨
18:48:26 | TradingSystem | INFO | 🔬 097950 (종목097950) 분석 시작...
18:48:35 | TradingSystem | INFO | ✅ 097950 분석 완료 - 점수: 55.7, 추천: WEAK_BUY
18:48:35 | TradingSystem | INFO | 🎯 097950 분석 완료: 점수 55.71649289099526, 추천 WEAK_BUY
18:48:35 | TradingSystem | INFO | ❌ 097950 점수 부족: 55.71649289099526 < 60
18:48:35 | TradingSystem | INFO | 🔬 086900 (종목086900) 분석 시작...
18:48:44 | TradingSystem | INFO | ✅ 086900 분석 완료 - 점수: 61.8, 추천: WEAK_BUY
18:48:44 | TradingSystem | INFO | 🎯 086900 분석 완료: 점수 61.842851562499995, 추천 WEAK_BUY
18:48:44 | TradingSystem | INFO | ✅ 086900 신호 추가됨
18:48:44 | TradingSystem | INFO | 🔬 402340 (종목402340) 분석 시작...
18:48:52 | TradingSystem | INFO | ✅ 402340 분석 완료 - 점수: 67.6, 추천: BUY
18:48:52 | TradingSystem | INFO | 🎯 402340 분석 완료: 점수 67.57252252252252, 추천 BUY
18:48:52 | TradingSystem | INFO | ✅ 402340 신호 추가됨
18:48:52 | TradingSystem | INFO | 🔬 011070 (종목011070) 분석 시작...
18:49:00 | TradingSystem | INFO | ✅ 011070 분석 완료 - 점수: 64.4, 추천: WEAK_BUY
18:49:00 | TradingSystem | INFO | 🎯 011070 분석 완료: 점수 64.39, 추천 WEAK_BUY
18:49:00 | TradingSystem | INFO | ✅ 011070 신호 추가됨
18:49:00 | TradingSystem | INFO | 🔬 000250 (종목000250) 분석 시작...
