2025-07-05 09:53:35 | TradingSystem | ERROR    | analyze_symbol  | ❌ 373220 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:53:44 | TradingSystem | ERROR    | analyze_symbol  | ❌ 018670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:53:53 | TradingSystem | ERROR    | analyze_symbol  | ❌ 010120 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:54:01 | TradingSystem | ERROR    | analyze_symbol  | ❌ 068270 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:13:27 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:13:35 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:13:44 | TradingSystem | ERROR    | analyze_symbol  | ❌ 373220 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:13:53 | TradingSystem | ERROR    | analyze_symbol  | ❌ 018670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:19:52 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:22:03 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:22:09 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:22:15 | TradingSystem | ERROR    | analyze_symbol  | ❌ 373220 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:45:41 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:45:50 | TradingSystem | ERROR    | analyze_symbol  | ❌ 004370 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:00 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:09 | TradingSystem | ERROR    | analyze_symbol  | ❌ 005490 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:19 | TradingSystem | ERROR    | analyze_symbol  | ❌ 018670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:30 | TradingSystem | ERROR    | analyze_symbol  | ❌ 357780 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:39 | TradingSystem | ERROR    | analyze_symbol  | ❌ 064350 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:49 | TradingSystem | ERROR    | analyze_symbol  | ❌ 402340 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:46:58 | TradingSystem | ERROR    | analyze_symbol  | ❌ 028260 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:47:08 | TradingSystem | ERROR    | analyze_symbol  | ❌ 005387 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:47:17 | TradingSystem | ERROR    | analyze_symbol  | ❌ 051915 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:47:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 041510 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:47:35 | TradingSystem | ERROR    | analyze_symbol  | ❌ 271560 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:47:44 | TradingSystem | ERROR    | analyze_symbol  | ❌ 064760 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:47:53 | TradingSystem | ERROR    | analyze_symbol  | ❌ 021240 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:48:01 | TradingSystem | ERROR    | analyze_symbol  | ❌ 161890 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:48:10 | TradingSystem | ERROR    | analyze_symbol  | ❌ 086790 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:48:18 | TradingSystem | ERROR    | analyze_symbol  | ❌ 047810 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:48:27 | TradingSystem | ERROR    | analyze_symbol  | ❌ 383220 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:48:36 | TradingSystem | ERROR    | analyze_symbol  | ❌ 069960 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:48:44 | TradingSystem | ERROR    | analyze_symbol  | ❌ 035900 분석 실패: 'dict' object has no attribute 'symbol'
