2025-08-09 06:32:51 | StrategyOptimizer | INFO     | __init__        | ✅ 전략 최적화 엔진 초기화 완료
2025-08-09 06:32:51 | AIController | INFO     | __init__        | ✅ AI 통합 컨트롤러 초기화 완료
2025-08-09 06:32:51 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-09 06:32:51 | TradingExecutor | INFO     | __init__        | ✅ TradingExecutor 초기화 완료 (매매 비활성화)
2025-08-09 06:32:51 | PositionManager | INFO     | __init__        | ✅ PositionManager 초기화 완료
2025-08-09 06:32:51 | RiskManager  | INFO     | __init__        | ✅ RiskManager 초기화 완료
2025-08-09 06:32:54 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:32:54 | TelegramNotifier | INFO     | __init__        | ✅ 텔레그램 알림기 초기화 완료
2025-08-09 06:32:54 | NotificationManager | INFO     | __init__        | ✅ 알림 관리자 초기화 완료
2025-08-09 06:32:54 | NotificationManager | INFO     | start_event_processing | 🟢 이벤트 처리 시작
2025-08-09 06:33:47 | KISCollector | INFO     | get_filtered_stocks | 📊 KIS API를 통한 10개 종목 조회 시작...
2025-08-09 06:33:47 | KISCollector | WARNING  | get_stocks_by_condition | PyKis not available for HTS conditions
2025-08-09 06:33:47 | KISCollector | ERROR    | get_filtered_stocks | ❌ 모든 종목 조회 방법 실패
2025-08-09 06:33:47 | KISCollector | INFO     | get_filtered_stocks | 📊 KIS API를 통한 10개 종목 조회 시작...
2025-08-09 06:33:47 | KISCollector | WARNING  | get_stocks_by_condition | PyKis not available for HTS conditions
2025-08-09 06:33:47 | KISCollector | ERROR    | get_filtered_stocks | ❌ 모든 종목 조회 방법 실패
2025-08-09 06:35:37 | NotificationManager | INFO     | stop_event_processing | 🔴 이벤트 처리 중단
2025-08-09 06:35:37 | TelegramNotifier | INFO     | cleanup         | ✅ TelegramNotifier 정리 완료
2025-08-09 06:35:37 | NotificationManager | INFO     | cleanup         | ✅ NotificationManager 정리 완료
2025-08-09 06:35:37 | KISCollector | INFO     | close           | KIS API collector 종료 중...
2025-08-09 06:35:37 | KISCollector | INFO     | close           | ✅ KIS API collector 종료 완료
2025-08-09 06:35:37 | NotificationManager | INFO     | stop_event_processing | 🔴 이벤트 처리 중단
2025-08-09 06:35:37 | TelegramNotifier | INFO     | cleanup         | ✅ TelegramNotifier 정리 완료
2025-08-09 06:35:37 | NotificationManager | INFO     | cleanup         | ✅ NotificationManager 정리 완료
2025-08-09 06:35:37 | KISCollector | INFO     | close           | KIS API collector 종료 중...
2025-08-09 06:35:37 | KISCollector | INFO     | close           | ✅ KIS API collector 종료 완료
2025-08-09 06:36:45 | Main         | INFO     | main            | 설정 초기화 완료
2025-08-09 06:36:46 | Main         | INFO     | main            | [PASS] TradingSystem 임포트 성공
2025-08-09 06:36:46 | Main         | INFO     | main            | 컴포넌트 초기화 중...
2025-08-09 06:36:46 | KISCollector | WARNING  | __init__        | PyKis 라이브러리 또는 KIS 계정 설정 없음
2025-08-09 06:36:46 | KISCollector | INFO     | __init__        | KISCollector 초기화 완료 (virtual: True)
2025-08-09 06:36:46 | KISCollector | INFO     | initialize      | 🚀 KIS API collector 초기화 중...
2025-08-09 06:36:46 | KISCollector | INFO     | request_new_token | 🔑 새 액세스 토큰 요청 중...
2025-08-09 06:36:46 | KISCollector | INFO     | request_new_token | ✅ 새 액세스 토큰 획득 완료 (만료: 2025-08-10 06:26:46.622195)
2025-08-09 06:36:46 | KISCollector | INFO     | initialize      | ✅ KIS API collector 초기화 성공
2025-08-09 06:36:46 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-09 06:36:49 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:36:49 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-09 06:36:49 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-09 06:36:51 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:36:51 | Strategy_BreakoutStrategy | INFO     | __init__        | 📈 돌파 매매 전략 초기화 완료
2025-08-09 06:36:51 | Strategy_EodStrategy | INFO     | __init__        | 📈 EOD 전략 초기화 완료
2025-08-09 06:36:51 | Strategy_VwapStrategy | INFO     | __init__        | 📈 VWAP 전략 초기화 완료
2025-08-09 06:36:51 | Strategy_Scalping3mStrategy | INFO     | __init__        | ✅ 3분봉 스캘핑 전략 초기화 완료
2025-08-09 06:36:51 | Strategy_RsiStrategy | INFO     | __init__        | ✅ RSI 전략 초기화 완료
2025-08-09 06:36:51 | TradingScheduler | INFO     | __init__        | ✅ TradingScheduler 초기화 완료
2025-08-09 06:36:53 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:36:53 | AIPredictor  | INFO     | __init__        | ✅ AI 예측 분석기 초기화 완료
2025-08-09 06:36:56 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:36:56 | AIRiskManager | INFO     | __init__        | ✅ AI 리스크 관리자 초기화 완료
2025-08-09 06:36:58 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:36:58 | MarketRegimeDetector | INFO     | __init__        | ✅ 시장 체제 감지기 초기화 완료
2025-08-09 06:37:00 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:37:00 | StrategyOptimizer | INFO     | __init__        | ✅ 전략 최적화 엔진 초기화 완료
2025-08-09 06:37:00 | AIController | INFO     | __init__        | ✅ AI 통합 컨트롤러 초기화 완료
2025-08-09 06:37:00 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
