2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 298050 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 003560 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 015360 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 175330 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 234080 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001060 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001067 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001065 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 096760 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 105560 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 415640 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 002380 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 344820 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 009070 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 009440 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 119650 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 092220 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 003620 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 016380 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
