2025-07-05 07:36:21 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 TEST (테스트종목) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-05 07:36:21 | NewsCollector | INFO     | analyze_stock_materials | 
🔍 테스트종목 (TEST) 재료 분석 중...
2025-07-05 07:36:21 | NewsCollector | INFO     | search_stock_news_naver |    🔍 네이버에서 테스트종목 뉴스 검색 중...
2025-07-05 07:36:26 | NewsCollector | INFO     | search_stock_news_naver |    📰 테스트종목 뉴스 6개 수집
2025-07-05 07:36:26 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 3개종목이 상장을 앞두고 있다. 30일 금융투자업계에 따르면 지에프씨(GFC)생명과학은 코...
2025-07-05 07:36:26 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 바이오, 연구개발, 상장
2025-07-05 07:36:26 | NewsCollector | INFO     | analyze_stock_materials |    ✅ 재료 분석 완료: 장기재료 (가중치 점수: 6.02)
2025-07-05 07:36:26 | AnalysisEngine | INFO     | calculate_news_sentiment_score |    📰 뉴스 분석: 장기재료 (재료점수: 6.0, 최종점수: 73.3)
2025-07-05 07:36:26 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - TEST
2025-07-05 07:36:26 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - TEST 점수: 36.4
2025-07-05 07:36:26 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - TEST
2025-07-05 07:36:26 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - TEST
2025-07-05 07:36:26 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - TEST: 1개 패턴, 점수: 65.0
2025-07-05 07:36:26 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - TEST 점수: 59.5
2025-07-05 07:36:26 | AnalysisEngine | INFO     | analyze_comprehensive |    🎁 재료 보너스: +8점 (장기재료)
2025-07-05 07:36:26 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ TEST 종합 분석 완료 - 점수: 68.4, 추천: BUY
